"word_pairs","english_item_id","english_word_full","french_item_id","french_word_full","rank","cognate_status","lexical_category","english_category","french_category","Eng_AoA","Fr_AoA","matches"
"horse - cheval",35,"horse",21,"cheval",NA,"non-cognate","nouns","animals","animals",20,21,"1.1.13"
"helicopter - hélicoptère",62,"helicopter",61,"hélicoptère",75.5,"cognate","nouns","vehicles","vehicles",25,26,"1.1.14"
"cloud - nuage",295,"cloud",304,"nuage",NA,"non-cognate","nouns","outside","outside",25,25,"1.1.14"
"motorcycle - moto",63,"motorcycle",62,"moto",41.5,"cognate","nouns","vehicles","vehicles",25,23,"1.1.15"
"shovel - pelle",309,"shovel",305,"pelle",NA,"non-cognate","nouns","outside","outside",26,24,"1.1.15"
"bee - abeille",17,"bee",13,"abeille",6,"cognate","nouns","animals","animals",21,25,"1.1.16"
"tree - arbre",322,"tree",287,"arbre",NA,"non-cognate","nouns","outside","outside",20,24,"1.1.16"
"tractor - tracteur",66,"tractor",64,"tracteur",95,"cognate","nouns","vehicles","vehicles",25,22,"1.1.17"
"broom - balai",216,"broom",209,"balai",NA,"non-cognate","nouns","household","household",24,22,"1.1.17"
"train - train",67,"train",65,"train",79,"cognate","nouns","vehicles","vehicles",21,22,"1.1.18"
"cow - vache",24,"cow",52,"vache",NA,"non-cognate","nouns","animals","animals",20,21,"1.1.18"
"carrots - carotte",96,"carrots",97,"carotte",97,"cognate","nouns","food_drink","food_drink",24,21,"1.1.19"
"sweater - chandail",180,"sweater",157,"chandail",NA,"non-cognate","nouns","clothing","clothing",24,22,"1.1.19"
"button - bouton",160,"button",155,"bouton",63,"cognate","nouns","clothing","clothing",22,24,"1.1.2"
"pillow - oreiller",243,"pillow",232,"oreiller",NA,"non-cognate","nouns","household","household",22,25,"1.1.2"
"hamburger - hamburger",116,"hamburger",115,"hamburger",119.5,"cognate","nouns","food_drink","food_drink",25,26,"1.1.20"
"window - fenetre",292,"window",266,"fenetre",NA,"non-cognate","nouns","furniture_rooms","furniture_rooms",25,25,"1.1.20"
"ice - glace",117,"ice",113,"glace",15.5,"cognate","nouns","food_drink","food_drink",23,27,"1.1.21"
"slide - glissoire",312,"slide",300,"glissoire",NA,"non-cognate","nouns","outside","outside",23,26,"1.1.21"
"ice_cream - crème_glacée",118,"ice_cream",107,"crème_glacée",4,"cognate","nouns","food_drink","food_drink",22,23,"1.1.22"
"knee - genou",198,"knee",188,"genou",NA,"non-cognate","nouns","body_parts","body_parts",23,24,"1.1.22"
"muffin - muffin",126,"muffin",121,"muffin",130.5,"cognate","nouns","food_drink","food_drink",26,25,"1.1.23"
"stairs - escalier",288,"stairs",264,"escalier",NA,"non-cognate","nouns","furniture_rooms","furniture_rooms",25,24,"1.1.23"
"cat - chat",22,"cat",20,"chat",43,"cognate","nouns","animals","animals",18,17,"1.1.24"
"hat - chapeau",165,"hat",158,"chapeau",NA,"non-cognate","nouns","clothing","clothing",19,17,"1.1.24"
"pizza - pizza",134,"pizza",130,"pizza",NA,"cognate","nouns","food_drink","food_drink",22,24,"1.1.25"
"french_fries - patate_frite",112,"french_fries",129,"patate_frite",NA,"non-cognate","nouns","food_drink","food_drink",23,25,"1.1.25"
"potato - patate",138,"potato",128,"patate",54,"cognate","nouns","food_drink","food_drink",25,21,"1.1.26"
"garbage - poubelle",226,"garbage",240,"poubelle",NA,"non-cognate","nouns","household","household",26,22,"1.1.26"
"pudding - pouding",140,"pudding",136,"pouding",129,"cognate","nouns","food_drink","food_drink",29,28,"1.1.27"
"glue - colle",80,"glue",75,"colle",NA,"non-cognate","nouns","toys","toys",29,27,"1.1.27"
"salt - sel",143,"salt",142,"sel",37.5,"cognate","nouns","food_drink","food_drink",28,28,"1.1.28"
"backyard - cour",294,"backyard",293,"cour",NA,"non-cognate","nouns","outside","outside",27,27,"1.1.28"
"sauce - sauce",145,"sauce",141,"sauce",99,"cognate","nouns","food_drink","food_drink",28,26,"1.1.29"
"living_room - salon",277,"living_room",281,"salon",NA,"non-cognate","nouns","furniture_rooms","furniture_rooms",27,25,"1.1.29"
"jeans - jeans",167,"jeans",167,"jeans",126,"cognate","nouns","clothing","clothing",28,28,"1.1.3"
"lawn_mower - tondeuse",302,"lawn_mower",315,"tondeuse",NA,"non-cognate","nouns","outside","outside",27,27,"1.1.3"
"mittens - mitaine",168,"mittens",169,"mitaine",70,"cognate","nouns","clothing","clothing",28,22,"1.1.4"
"slipper - pantoufle",176,"slipper",171,"pantoufle",NA,"non-cognate","nouns","clothing","clothing",27,22,"1.1.4"
"nose - nez",202,"nose",196,"nez",25,"cognate","nouns","body_parts","body_parts",17,17,"1.1.5"
"cookie - biscuit",104,"cookie",92,"biscuit",NA,"non-cognate","nouns","food_drink","food_drink",18,18,"1.1.5"
"bottle - bouteille",213,"bottle",212,"bouteille",28,"cognate","nouns","household","household",19,23,"1.1.6"
"bear - ours",16,"bear",40,"ours",NA,"non-cognate","nouns","animals","animals",19,24,"1.1.6"
"scissors - ciseaux",248,"scissors",216,"ciseaux",71.5,"cognate","nouns","household","household",26,25,"1.1.7"
"snow - neige",313,"snow",303,"neige",NA,"non-cognate","nouns","outside","outside",25,24,"1.1.7"
"bench - banc",266,"bench",254,"banc",34,"cognate","nouns","furniture_rooms","furniture_rooms",30,26,"1.1.8"
"jar - pot",230,"jar",239,"pot",NA,"non-cognate","nouns","household","household",29,24,"1.1.8"
"garage - garage",274,"garage",270,"garage",102,"cognate","nouns","furniture_rooms","furniture_rooms",26,27,"1.1.9"
"washing_machine - laveuse",293,"washing_machine",272,"laveuse",NA,"non-cognate","nouns","furniture_rooms","furniture_rooms",27,28,"1.1.9"
